,FCN loss,Deepcrack,Enet,Deeplabv3,LRASPP,Unet,ECSNet
27,2.60384174,6.597420157,10.07963693,2.790777087,3.944566714,3.407296681,5.691692799
28,2.566742678,6.344046704,9.697228642,2.734228784,3.918169063,3.500290675,5.641215803
29,2.585301423,6.516627841,9.70278457,2.697254575,3.86113362,3.412411449,5.538185518
30,2.820572604,6.133718424,9.516873578,2.695963792,3.844948715,3.310095211,5.47259004
31,2.892110438,6.244287603,9.697236262,2.663882563,3.815345088,3.367943537,5.509528484
32,2.491660293,5.973855755,9.446665181,2.816977105,3.821744278,3.345066831,5.407545375
33,2.470500607,5.964533593,9.442112138,2.63718394,3.799921179,3.221359256,5.368787449
34,2.424322254,6.058554415,9.451411102,2.554353987,3.756375818,3.333318594,5.403957475
35,2.400040526,6.388076099,9.288329971,2.535545964,3.749424454,3.16985272,5.269092608
36,2.389248928,5.988084232,9.189280184,2.54640561,3.732609499,3.246949691,5.332194189
37,2.358329082,6.621285468,9.170498861,2.571512681,3.711479617,3.192037055,5.149681389
38,2.378350075,5.81728729,8.922075829,2.472643864,3.675073426,3.023332687,5.274273459
39,2.328585355,5.665595169,8.901979428,2.461349455,3.66452238,3.281860877,5.165029421
40,2.357509702,5.683938134,8.871769655,2.435959168,3.621652918,3.147010681,5.201976975
41,2.26754638,5.494607834,8.853441987,2.402933887,3.605420178,3.171140457,5.195052652
42,2.248852557,5.577367968,8.712411191,2.399139757,3.601586688,3.047537768,5.100478606
43,2.249343465,5.409045562,8.783912603,2.342847724,3.560374433,3.153825001,5.089292657
44,2.212190798,5.357758902,8.656598128,2.329518634,3.548556536,3.036963663,4.989918461
45,2.216922489,5.231981586,8.577144775,2.334231563,3.567174265,2.97138418,5.086060842
46,2.174067915,5.162780421,8.5580523,2.328388238,3.521566806,3.056067575,5.002272891
47,2.155916611,5.386133303,8.504403508,2.289063089,3.511025053,2.944284004,4.964940093
48,2.144553108,5.133691345,8.446450563,2.266546632,3.4877332,2.871031011,4.888936026
49,2.159465658,5.497934015,8.342632752,2.265140262,3.508166654,2.915783069,4.863731852
50,2.158053685,4.88434403,8.425287322,2.266580433,3.488220129,2.964446288,4.8135236
51,2.09496003,5.124498749,8.238523116,2.247342615,3.440040855,2.874647752,4.87536638
52,2.067709104,4.857997098,8.358083986,2.264903551,3.458264755,2.917366325,4.830115214
53,2.073686888,5.13020837,8.158954857,2.307184851,3.448663391,3.011877254,4.723456403
54,2.138057366,4.759161093,8.224355629,2.178458555,3.432941061,2.872354379,4.777765626
55,2.05822813,4.936700533,8.235350894,2.190188356,3.415834807,2.778410153,4.787339078
56,2.029973103,4.639632902,8.096937191,2.184878292,3.383641275,2.900006345,4.778663805
57,2.016426488,4.670601695,8.088960037,2.14692127,3.379597381,2.847383401,4.713544456
58,2.026610696,4.65262501,8.028252771,2.122114839,3.379840706,2.968524183,4.708817227
59,2.012486237,4.604194648,7.922421364,2.099927152,3.363696842,2.754813238,4.684904363
60,2.025895924,4.732897437,7.801454896,2.104879458,3.352762952,2.721768518,4.650845693
61,1.989109936,4.58065154,7.809274584,2.126074534,3.340925373,2.841543399,4.615580361
62,1.968741129,4.414205143,7.926746702,2.080328204,3.311717762,2.804358697,4.56300034
63,1.977936666,4.624248597,7.848092729,2.082798318,3.322087405,2.643350182,4.608817637
64,2.009307212,4.361559751,7.737879281,2.078541901,3.45363046,2.662034686,4.580522381
65,1.973577904,4.317485673,7.599120279,2.061283844,3.353676543,2.734936003,4.613585468
66,1.935575617,4.32674802,7.667887192,2.067338191,3.28476219,2.66946804,4.517762741
67,1.941638887,5.072176014,7.74568465,2.10912717,3.28104744,2.643029988,4.523737568
68,1.928289325,4.160579024,7.651933436,2.061242492,3.275536439,2.692129957,4.46012171
69,1.908584252,4.311518521,7.725227397,1.999907248,3.261756832,2.741722696,4.435975624
70,1.965222538,4.628112243,7.49866239,1.998095787,3.269499017,2.611792893,4.537714224
71,1.908261171,4.405338885,7.667479597,2.017897896,3.254355872,2.669322396,4.465958688
72,1.894088523,4.017460695,7.661801596,2.059779249,3.230986476,2.770025206,4.460513696
73,1.89380435,4.045302993,7.533361978,2.01268498,3.235470412,2.633495995,4.419668062
74,1.90080733,4.017288165,7.467668119,1.984382458,3.220347041,2.552711181,4.368338389
75,1.887339513,3.980781613,7.408269403,1.968866969,3.213998912,2.53602565,4.439415423
76,1.873462306,4.16297353,7.375310732,1.971926907,3.211142432,2.664721346,4.411224492
77,1.875728015,3.901590454,7.302720578,1.981912215,3.202189356,2.511663196,4.35748782
78,1.876263437,3.883511872,7.332730934,1.965676729,3.191812135,2.548675234,4.383278256
79,1.874938508,3.897944271,7.32578331,1.993984772,3.194725439,2.527280466,4.367089549
80,1.852708017,3.802164681,7.29890775,1.95370192,3.153144211,2.573412511,4.275746454
81,1.882893376,3.881132011,7.220581376,1.961370279,3.156297456,2.537167195,4.358457904
82,2.085761555,3.907755048,7.254633594,1.998884718,3.165318992,2.493933949,4.340893222
83,1.861680614,3.808193047,7.230445771,1.94550708,3.145126693,2.556441626,4.300128957
84,1.834763282,3.684505163,7.317773523,1.922773616,3.17445915,2.482569181,4.294682095
85,1.813439464,3.654026717,7.212455558,1.913568514,3.140934255,2.437761236,4.178404598
86,1.821332386,3.643354083,7.193308607,1.902814345,3.141577696,2.42250939,4.314871194
87,1.821280819,3.526236647,7.190871515,1.90860672,3.115383046,2.390532931,4.280539731
88,1.825603527,3.533547083,7.103371511,1.904155348,3.125871325,2.472835049,4.191659788
89,1.824072054,3.49698116,7.136248764,1.891879846,3.105360392,2.45192531,4.172480363
90,1.848860479,3.541914246,7.002074503,1.897514523,3.08695174,2.394479656,4.219163736
91,1.908265004,3.756458935,7.233392321,1.885767578,3.09692701,2.554946205,4.234895483
92,1.969397242,3.357901036,7.015907109,1.891314199,3.104160951,2.445921645,4.12554767
93,1.938418006,3.382531692,7.024952572,1.88755419,3.07615977,2.356534409,4.169380955
94,1.805119622,3.504355088,6.860737081,1.880070154,3.076173494,2.358927811,4.127298288
95,1.794050941,3.280081957,6.946748828,1.865152698,3.066845635,2.326115198,4.132910727
96,1.810276096,3.327629777,6.830888426,1.884612828,3.087342761,2.375729177,4.210964905
97,1.804548888,3.309923757,6.956311228,1.850639524,3.040438656,2.463031541,4.16347852
98,1.798830998,3.466914094,6.862413747,1.862174347,3.072559433,2.310375595,4.046578018
99,1.802353346,3.141213681,6.782540118,1.847105579,3.038707632,2.298153528,4.094333978
100,1.799945333,3.273496986,6.856941219,1.865926697,3.046082949,2.381449663,4.044018978
101,1.784098157,3.182170694,6.791193681,1.854041073,3.043328522,2.436877707,4.040227955
102,1.793771217,3.097422474,6.86568319,1.858209959,3.032588614,2.307909962,4.072524661
103,1.785623319,3.133882373,6.765594584,1.83907081,3.016631011,2.387043872,4.036157826
104,1.797591637,3.108580654,6.764787346,1.836032163,3.018136342,2.314690526,4.054481387
105,1.91309295,3.111774898,6.891222345,1.840241407,3.003097289,2.23992519,4.002932895
106,2.042132329,3.045506041,6.772874346,1.846239828,3.001917187,2.237880461,3.986465182
107,1.807778538,3.083149082,6.658066703,1.88668488,3.000364626,2.270821265,4.023495242
108,1.814261707,3.20760527,6.711322086,1.814683838,2.993859764,2.271210595,3.954123652
109,1.755018538,3.011803061,6.694920757,1.815111543,3.007965049,2.244685317,3.919350329
110,1.769083488,3.032098674,6.726986767,1.822458872,2.978632368,2.252860095,3.970417334
111,1.755730066,3.000628294,6.65415648,1.819082828,2.961415495,2.186634262,3.924170788
112,1.757439277,3.013315714,6.679139557,1.818093783,2.973495748,2.238033883,3.951669969
113,1.755480847,2.879120187,6.651768533,1.810055831,2.9704249,2.203097375,3.938412003
114,1.769867416,3.068534535,6.655997131,1.818274203,2.971054947,2.181179504,3.922298659
115,1.764708391,2.96394475,6.562383676,1.828789447,2.956187232,2.343330547,3.918576902
116,1.767203356,2.84603455,6.630239843,1.827515262,2.960902449,2.197107884,3.97034386
117,1.775373003,2.793991595,6.517839627,1.788133794,2.937847978,2.194553624,3.888918586
118,1.832129774,2.889381659,6.600226812,1.797247307,2.944851342,2.343205445,3.850721831
119,1.808495872,2.780514302,6.465384213,1.805297505,2.942017959,2.127137985,3.893802308
120,1.763568991,2.750857466,6.474419808,1.786779455,2.92933816,2.178970032,3.831807066
121,1.735688904,2.756078532,6.4892705,1.828044415,2.929902337,2.079510058,3.820097495
